public_student_file,public_student_id,note
E01.txt,E01,anonymized student answer
E02.txt,E02,anonymized student answer
E03.txt,E03,anonymized student answer
E04.txt,E04,anonymized student answer
E05.txt,E05,anonymized student answer
E06.txt,E06,anonymized student answer
E07.txt,E07,anonymized student answer
E08.txt,E08,anonymized student answer
E09.txt,E09,anonymized student answer
E10.txt,E10,anonymized student answer
E11.txt,E11,anonymized student answer
E12.txt,E12,anonymized student answer
E13.txt,E13,anonymized student answer
E14.txt,E14,anonymized student answer
E15.txt,E15,anonymized student answer
E16.txt,E16,anonymized student answer
E17.txt,E17,anonymized student answer
META.txt,META,seeded test answer; label intentionally preserved
